item_id,label,covariate_1,covariate_2,covariate_3,covariate_4,covariate_5
0,Product A,0.37802569,-1.01646298,0.14047358,-0.13616264,-1.01137608
1,Product B,0.48863089,0.47438509,2.25298144,0.47518221,0.52092759
2,Product C,-0.15577621,0.01097829,-1.63119938,0.68298665,-0.29971271
3,Product D,-0.44536924,-0.52150505,1.02517382,-1.50720735,1.59843582
4,Product E,-1.8669192,-0.40398393,0.05745798,0.74654455,0.61110338
5,Product F,0.55245804,0.47443509,1.12308145,1.0137161,-0.09988741
6,Product G,0.94064396,-0.09434498,-1.2792336,-0.47655306,-0.2526811
7,Product H,0.65468969,-0.72379677,-0.93658146,1.39967845,-0.55978434
8,Product I,1.10033821,1.37025631,0.90782351,-0.0467856,-0.0802858
9,Product J,-0.23004837,0.81945642,1.72752573,-0.46253666,1.06393059

assessor_id,name,expertise_level
1,Expert 1,High
2,Expert 2,Medium
3,Novice 1,Low
4,Expert 3,High
5,Novice 2,Low

selective_set_id,assessor_id,items
1,1,0;2;4;6;8
2,2,1;3;5;7;9
3,3,0;1;2;3;4
4,4,2;3;4;5;8;9
5,5,0;1;5;6;7 
